ProgramID_encoded,n,RMSE,MAE,Accuracy,Accuracy+-1,under_rate,over_rate,hit_rate,avg_deviation(bucket),"dir_cost(l_under=0.6,l_over=0.2,scale=1000.0)"
78,153.0,128953.522261829,128952.1633986928,0.0,0.0,0.0,1.0,0.0,8.594771241830065,1718.9542483660132
79,236.0,128781.06924593815,128779.35593220338,0.0,0.0,0.0,1.0,0.0,8.470338983050848,1694.06779661017
80,154.0,128939.02214361116,128937.5974025974,0.0,0.0,0.0,1.0,0.0,8.62987012987013,1725.9740259740258
81,236.0,128074.952143862,128060.5,0.0,0.0,0.0,1.0,0.0,8.055084745762711,1611.0169491525428
82,554.0,129390.61453244217,129389.84115523465,0.0,0.0,0.0,1.0,0.0,8.922382671480145,1784.476534296029
83,1274.0,124858.23041150371,124676.00078492936,0.0,0.0,0.0,1.0,0.0,7.0149136577708004,1402.9827315541604
84,8039.0,9788.4551284265,8986.093295185969,0.09926607787038189,0.3491727826844135,0.03507898992411992,0.8656549322054982,0.09926607787038189,2.224530414230626,487.29941535016803
85,3418.0,1669.745878746345,1399.523112931539,0.044763019309537744,0.8575190169689877,0.01492100643651258,0.9403159742539496,0.044763019309537744,1.0661205383265067,227.03335283791694
86,231.0,125815.62402667158,125729.65367965368,0.0,0.0,0.0,1.0,0.0,7.138528138528138,1427.7056277056279
87,3194.0,123682.84353724644,123432.43957420163,0.0,0.00031308703819661864,0.0,1.0,0.0,6.611772072636193,1322.3544145272388
88,670.0,128975.90099722032,128967.08059701492,0.0,0.0,0.0,1.0,0.0,8.65223880597015,1730.44776119403
89,608.0,126419.79530338984,126361.21217105263,0.0,0.0,0.0,1.0,0.0,7.345394736842105,1469.078947368421
90,147.0,126320.5663317504,126259.8299319728,0.0,0.0,0.0,1.0,0.0,7.333333333333333,1466.6666666666667
91,604.0,129573.72474950415,129573.71854304636,0.0,0.0,0.0,1.0,0.0,9.0,1800.0000000000005
92,6000.0,64148.50197419007,62227.85966666666,0.17216666666666666,0.20683333333333334,0.0015,0.8263333333333334,0.17216666666666666,5.171333333333333,1035.4666666666667
93,1176.0,128798.74090496084,128788.65051020408,0.0,0.0,0.0,1.0,0.0,8.534013605442176,1706.8027210884356
94,53.0,127132.95437068577,126515.16981132075,0.018867924528301886,0.018867924528301886,0.0,0.9811320754716981,0.018867924528301886,8.09433962264151,1618.8679245283015
95,119.0,128394.82380705765,128390.00840336134,0.0,0.0,0.0,1.0,0.0,8.100840336134453,1620.168067226891
96,227.0,128425.36486778189,128419.67841409691,0.0,0.0,0.0,1.0,0.0,8.14977973568282,1629.955947136564
97,386.0,127126.61000134957,127096.73056994818,0.0,0.0,0.0,1.0,0.0,7.66321243523316,1532.6424870466321
99,3083.0,298.7379693154794,298.73434965942266,0.9996756406097956,1.0,0.0003243593902043464,0.0,0.9996756406097956,-0.0003243593902043464,0.19461563412260785
100,52713.0,242.55397636309232,219.04245632007286,0.9825659704437235,0.9999430880427977,0.0035664826513383797,0.013867546904938062,0.9825659704437235,0.010244152296397474,4.947546146111965
102,7534.0,122917.39774850913,121924.31988319618,0.004512874966817096,0.057207326785240244,0.0,0.9954871250331829,0.004512874966817096,7.120785771170693,1424.157154234139
103,4410.0,33394.003075932276,29161.014965986393,0.24104308390022675,0.5970521541950113,0.0006802721088435374,0.7582766439909298,0.24104308390022675,1.9904761904761905,398.6394557823129
104,274.0,129576.21185956901,129576.21167883211,0.0,0.0,0.0,1.0,0.0,9.0,1800.0000000000002
105,3005.0,618.0831093926387,602.2116472545757,0.3341098169717138,1.0,0.00033277870216306157,0.6655574043261231,0.3341098169717138,0.6652246256239601,133.31114808652245
106,3659.0,944.6867979467124,896.9789559989068,0.13282317573107405,0.9989068051380159,0.014758130636786007,0.85241869363214,0.13282317573107405,0.8365673681333697,179.99453402569011
107,12246.0,49216.64892222046,44904.876367793564,0.33692634329577004,0.36763024661113836,0.002286460885187,0.660787195819043,0.33692634329577004,3.713375796178344,744.5043279438182
108,3345.0,59347.68821343359,54841.73841554559,0.6152466367713004,0.6923766816143497,0.011360239162929745,0.3733931240657698,0.6152466367713004,1.693273542600897,348.9387144992526
109,31693.0,41985.71769541493,36890.411194901084,0.15460827312024739,0.18616098192029787,0.004101852144006563,0.841289874735746,0.15460827312024739,3.9002303347742404,783.832392010854
110,5292.0,298.4885707539709,298.4850718065004,1.0,1.0,0.0,0.0,1.0,0.0,0.0
111,646.0,129241.3373590091,129139.47523219814,0.0015479876160990713,0.0030959752321981426,0.0,0.9984520123839009,0.0015479876160990713,8.741486068111454,1748.297213622291
112,57507.0,6211.939389137355,1390.004660302224,0.030987531952631854,0.9743335593927696,0.006294885839984697,0.9627175822073835,0.030987531952631854,0.9945571843427756,208.34333211609024
113,1713.0,129404.77887989704,129403.17805020433,0.0,0.0,0.0,1.0,0.0,8.87857559836544,1775.7151196730886
114,56.0,128754.16098158315,128742.60714285714,0.0,0.0,0.0,1.0,0.0,8.571428571428571,1714.2857142857142
115,69.0,129537.13208210985,129537.13043478261,0.0,0.0,0.0,1.0,0.0,9.0,1800.0
116,105.0,126784.68803121072,126779.47619047618,0.0,0.0,0.0,1.0,0.0,6.9904761904761905,1398.0952380952378
117,450.0,112933.35240884333,112284.92222222222,0.0,0.0022222222222222222,0.0,1.0,0.0,4.266666666666667,853.3333333333335
118,545.0,161690.44873456034,146622.85321100918,0.5853211009174312,0.691743119266055,0.0,0.41467889908256883,0.5853211009174312,2.4403669724770642,488.07339449541286
119,2136.0,110444.63800123897,108660.25936329587,0.0028089887640449437,0.21254681647940074,0.0,0.9971910112359551,0.0028089887640449437,4.160112359550562,832.0224719101125
120,697.0,128224.88605200713,128204.90961262553,0.0,0.0,0.0,1.0,0.0,8.078909612625537,1615.7819225251078
121,142.0,129389.86952010416,129388.82394366198,0.0,0.0,0.0,1.0,0.0,8.922535211267606,1784.5070422535216
122,3.0,129598.00000257205,129598.0,0.0,0.0,0.0,1.0,0.0,9.0,1800.0
123,11.0,110114.86359541278,106977.18181818182,0.09090909090909091,0.18181818181818182,0.0,0.9090909090909091,0.09090909090909091,4.909090909090909,981.8181818181819
126,13247.0,117075.9171052221,109596.72635313656,0.26398429833169773,0.3055031327847815,0.0,0.7360157016683022,0.26398429833169773,4.96255756020231,992.5115120404621
127,2.0,105869.59431536516,102499.5,0.0,0.5,0.0,1.0,0.0,4.5,900.0
128,3.0,129330.22345144232,129330.0,0.0,0.0,0.0,1.0,0.0,8.666666666666666,1733.3333333333335
129,5.0,129110.21665228512,129109.2,0.0,0.0,0.0,1.0,0.0,8.8,1760.0000000000002
130,1.0,129587.0,129587.0,0.0,0.0,0.0,1.0,0.0,9.0,1800.0
131,28.0,126205.80637013384,125789.96428571429,0.0,0.03571428571428571,0.0,1.0,0.0,7.785714285714286,1557.1428571428564
132,5524.0,12181.791653028957,9843.581281679943,0.055394641564083996,0.18102824040550325,0.01937002172338885,0.9252353367125271,0.055394641564083996,2.503982621288921,526.1404779145546
133,4599.0,7148.591940401702,6283.984996738422,0.04435746901500326,0.1232876712328767,0.015003261578604044,0.9406392694063926,0.04435746901500326,2.1498151772124374,452.4026962383126
134,2375.0,41007.671501502715,37914.09726315789,0.015157894736842105,0.01726315789473684,0.0004210526315789474,0.984421052631579,0.015157894736842105,6.366315789473684,1273.6000000000001
135,715.0,128932.96956720644,128767.50209790209,0.002797202797202797,0.004195804195804196,0.0,0.9972027972027973,0.002797202797202797,8.841958041958042,1768.391608391609
136,4.0,114240.00180650383,110897.25,0.0,0.25,0.0,1.0,0.0,5.75,1150.0000000000002
137,18.0,128681.8980365062,128679.38888888889,0.0,0.0,0.0,1.0,0.0,8.444444444444445,1688.8888888888891
138,100.0,121810.44460242316,118374.9,0.06,0.11,0.0,0.94,0.06,7.47,1494.0000000000007
139,13.0,134089.58768846127,130444.46153846153,0.07692307692307693,0.15384615384615385,0.0,0.9230769230769231,0.07692307692307693,7.461538461538462,1492.3076923076926
140,34.0,125874.43014182591,125226.41176470589,0.0,0.029411764705882353,0.0,1.0,0.0,8.117647058823529,1623.5294117647056
141,571.0,128250.48452785167,128181.93345008757,0.0017513134851138354,0.0017513134851138354,0.0,0.9982486865148862,0.0017513134851138354,8.157618213660244,1631.5236427320492
142,10.0,129593.50000327949,129593.5,0.0,0.0,0.0,1.0,0.0,9.0,1800.0
143,139.0,129830.61847468026,128970.03597122303,0.02158273381294964,0.02877697841726619,0.0,0.9784172661870504,0.02158273381294964,7.474820143884892,1494.9640287769785
144,941.0,121508.69664528423,119960.04675876728,0.02975557917109458,0.06482465462274177,0.0,0.9702444208289054,0.02975557917109458,6.12327311370882,1224.6546227417643
145,1880.0,110950.00216252287,106751.90531914894,0.09148936170212765,0.1898936170212766,0.0,0.9085106382978724,0.09148936170212765,4.576063829787234,915.2127659574467
146,2363.0,1745.5864179255186,1532.518831993229,0.20440118493440543,0.7126534066864155,0.027507405840033854,0.7680914092255607,0.20440118493440543,1.0169276343630977,230.13118916631404
147,118.0,109611.54230013942,107978.80508474576,0.0,0.059322033898305086,0.0,1.0,0.0,4.915254237288136,983.050847457627
148,51.0,127259.04065361498,127092.0,0.0,0.0,0.0,1.0,0.0,8.196078431372548,1639.2156862745098
149,203.0,128218.92275477161,128067.20197044335,0.0,0.0049261083743842365,0.0,1.0,0.0,8.54679802955665,1709.3596059113306
150,362.0,129002.67624834302,128992.77624309392,0.0,0.0,0.0,1.0,0.0,8.646408839779005,1729.2817679558016
151,413.0,125562.94541656312,125040.38014527845,0.009685230024213076,0.031476997578692496,0.0,0.9903147699757869,0.009685230024213076,7.5907990314769975,1518.1598062953997
152,540.0,129063.78963543283,129049.94814814815,0.0,0.0,0.0,1.0,0.0,8.75925925925926,1751.8518518518522
153,212.0,127784.71567395156,127524.47641509434,0.0047169811320754715,0.009433962264150943,0.0,0.9952830188679245,0.0047169811320754715,8.297169811320755,1659.4339622641517
154,2629.0,122883.29487258889,122493.4572080639,0.002282236591860023,0.003803727653100038,0.0,0.99771776340814,0.002282236591860023,6.887409661468239,1377.481932293648
155,245.0,121285.34741723078,118810.75510204081,0.061224489795918366,0.06938775510204082,0.0,0.9387755102040817,0.061224489795918366,6.628571428571429,1325.7142857142856
156,630.0,115447.87709658388,111028.95238095238,0.16031746031746033,0.16507936507936508,0.0,0.8396825396825397,0.16031746031746033,5.73015873015873,1146.031746031746
158,32.0,123996.67751042767,123461.4375,0.0,0.03125,0.0,1.0,0.0,7.25,1450.0000000000002
159,22.0,129247.44560021996,129246.18181818182,0.0,0.0,0.0,1.0,0.0,8.772727272727273,1754.5454545454543
160,32.0,129007.58154477298,128984.78125,0.0,0.0,0.0,1.0,0.0,8.78125,1756.25
